yearMonth,site_id,sitio,total,monetizados,enviados,gads,gads_monetizados,gads_enviados,paid,paid_monetizados,paid_enviados,emc,emc_monetizados,emc_enviados,muex,muex_monetizados,muex_enviados,reprocesados,seo,seo_monetizados,seo_enviados,fb,fb_monetizados,fb_enviados
2023-12-01,1,Buscouniversidad.com,11432,6170.0,5551.0,1259.0,864.0,739.0,1858.0,1458.0,1287.0,883.0,865.0,809.0,0.0,0.0,0.0,0.0,8691.0,3847.0,3455.0,599.0,594.0,548.0
2023-12-01,2,BR Cursos y Carreras,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,3,CL Cursos y Carreras,465,256.0,215.0,0.0,0.0,0.0,94.0,94.0,77.0,36.0,35.0,25.0,0.0,0.0,0.0,0.0,335.0,127.0,113.0,94.0,94.0,77.0
2023-12-01,4,MX Cursos y Carreras,5794,4497.0,3455.0,9.0,8.0,5.0,37.0,36.0,30.0,184.0,181.0,163.0,3063.0,3036.0,2062.0,98.0,2510.0,1244.0,1200.0,28.0,28.0,25.0
2023-12-01,5,CO Cursos y Carreras,1534,309.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,20.0,0.0,0.0,0.0,0.0,1513.0,288.0,274.0,0.0,0.0,0.0
2023-12-01,6,UY Cursos y Carreras,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,7,PE Cursos y Carreras,160,38.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,38.0,33.0,0.0,0.0,0.0
2023-12-01,8,EC Cursos y Carreras,497,100.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,487.0,98.0,97.0,0.0,0.0,0.0
2023-12-01,9,ES Cursos y Carreras,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,10,VE Cursos y Carreras,1454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1454.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,15,PY Cursos y Carreras,302,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,15.0,15.0,0.0,0.0,0.0
2023-12-01,16,CR Cursos y Carreras,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
